post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:product_range,tax:product_color,attribute:pa_brand,attribute_data:pa_brand
"Combination Spanner",combination-spanner-4,,616,,"Combination Spanner",publish,,0,"2026-01-25 22:33:48",1,open,HCSPA091,,,no,no,0,,,0.04,13,2,0.9,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA091.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-4/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-5,,618,,"Combination Spanner",publish,,0,"2026-01-25 22:33:49",1,open,HCSPA101,,,no,no,2,34.99,,0.04,14,2.2,0.9,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA101.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-5/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-6,,620,,"Combination Spanner",publish,,0,"2026-01-25 22:33:51",1,open,HCSPA111,,,no,no,0,,,0.05,15,2.4,1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA111.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-6/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-7,,622,,"Combination Spanner",publish,,0,"2026-01-25 22:33:52",1,open,HCSPA121,,,no,no,5,,,0.07,16,2.5,1.1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA121.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-7/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-8,,624,,"Combination Spanner",publish,,0,"2026-01-25 22:33:53",1,open,HCSPA131,,,no,no,0,,,0.07,17,2.7,1.1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA131.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-8/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-9,,626,,"Combination Spanner",publish,,0,"2026-01-25 22:33:54",1,open,HCSPA141,,,no,no,1,42,,0.09,18,2.9,1.2,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA141.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-9/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-10,,628,,"Combination Spanner",publish,,0,"2026-01-25 22:33:55",1,open,HCSPA151,,,no,no,0,,,0.11,19.1,3.1,1.2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA151.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-10/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-11,,630,,"Combination Spanner",publish,,0,"2026-01-25 22:33:56",1,open,HCSPA161,,,no,no,0,,,0.13,20.2,3.3,1.3,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA161.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-11/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-12,,632,,"Combination Spanner",publish,,0,"2026-01-25 22:33:57",1,open,HCSPA171,,,no,no,'-1,65,,0.14,21.2,3.4,1.4,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA171.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-12/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-13,,634,,"Combination Spanner",publish,,0,"2026-01-25 22:33:59",1,open,HCSPA181,,,no,no,1,,,0.16,22.2,3.6,1.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA181.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-13/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-14,,636,,"Combination Spanner",publish,,0,"2026-01-25 22:34:00",1,open,HCSPA191,,,no,no,'-5,,,0.2,23.1,3.8,1.6,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA191.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-14/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-15,,638,,"Combination Spanner",publish,,0,"2026-01-25 22:34:02",1,open,HCSPA201,,,no,no,1,,,0.22,24.1,3.9,1.7,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA201.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-15/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-16,,640,,"Combination Spanner",publish,,0,"2026-01-25 22:34:03",1,open,HCSPA211,,,no,no,0,,,0.25,38.1,6.1,1.8,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA211.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-16/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-17,,642,,"Combination Spanner",publish,,0,"2026-01-25 22:34:04",1,open,HCSPA221,,,no,no,0,,,0.27,42.9,26.6,6.1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA221.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-17/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-18,,644,,"Combination Spanner",publish,,0,"2026-01-25 22:34:06",1,open,HCSPA241,,,no,no,0,,,0.35,28.7,4.8,2.2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA241.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-18/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-19,,646,,"Combination Spanner",publish,,0,"2026-01-25 22:34:07",1,open,HCSPA271,,,no,no,2,,,0.49,33,5.4,2.6,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA271.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-19/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-20,,648,,"Combination Spanner",publish,,0,"2026-01-25 22:34:08",1,open,HCSPA301,,,no,no,1,,,0.63,38.2,6.1,2.8,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA301.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-20/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-21,,650,,"Combination Spanner",publish,,0,"2026-01-25 22:34:09",1,open,HCSPA321,,,no,no,2,,,0.73,40.1,6.2,2.9,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA321.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-21/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner,,652,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:10",1,open,HCSPAR061,,,no,no,1,,,0.04,12.8,1.6,0.7,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR061.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-2,,654,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:11",1,open,HCSPAR081,,,no,no,1,,,0.04,13.7,1.7,0.6,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR081.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-2/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-3,,656,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:13",1,open,HCSPAR101,,,no,no,0,,,0.05,16,2.1,0.7,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR101.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-3/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-4,,658,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:14",1,open,HCSPAR111,,,no,no,1,,,0.07,16.6,2.3,0.7,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR111.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-4/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-5,,660,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:15",1,open,HCSPAR121,,,no,no,0,,,0.08,17.2,2.5,0.8,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR121.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-5/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-6,,662,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:16",1,open,HCSPAR131,,,no,no,1,,,0.09,17.8,2.7,0.9,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR131.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-6/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-7,,664,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:17",1,open,HCSPAR141,,,no,no,1,,,0.1,19.1,2.9,1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR141.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-7/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-8,,666,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:18",1,open,HCSPAR151,,,no,no,1,,,0.13,20.1,3.1,1.1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR151.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-8/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-9,,668,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:19",1,open,HCSPAR161,,,no,no,1,,,0.15,21.3,3.3,1.2,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR161.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-9/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-10,,670,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:21",1,open,HCSPAR171,,,no,no,1,130,,0.18,22.5,3.5,1.3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR171.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-10/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-11,,672,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:22",1,open,HCSPAR191,,,no,no,1,,,0.23,24.5,3.9,1.4,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR191.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-11/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-12,,674,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:23",1,open,HCSPAR211,,,no,no,1,,,0.35,28.6,4.4,1.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR211.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-12/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-13,,676,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:24",1,open,HCSPAR241,,,no,no,1,,,0.53,33.2,5.1,1.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR241.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-13/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Ratchet Spanner",ratchet-spanner-14,,678,,"Ratchet Spanner",publish,,0,"2026-01-25 22:34:25",1,open,HCSPAR271,,,no,no,1,,,0.66,36.1,5.4,1.7,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPAR271.jpg ! alt :  ! title : Ratchet Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/ratchet-spanner-14/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Diagonal Plier",diagonal-plier,,680,,"Diagonal Plier",publish,,0,"2026-01-25 22:34:26",1,open,HDCP28168,,,no,no,2,,,0.24,22.6,7,3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HDCP28168.jpg ! alt :  ! title : Diagonal Plier ! desc :  ! caption : ",,http://belims-headless.local/product/diagonal-plier/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Diagonal Plier",diagonal-plier-2,,682,,"Diagonal Plier",publish,,0,"2026-01-25 22:34:27",1,open,HDCP28188,,,no,no,2,140,,0.29,26,7,2.7,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HDCP28188.jpg ! alt :  ! title : Diagonal Plier ! desc :  ! caption : ",,http://belims-headless.local/product/diagonal-plier-2/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Extension Bar",extension-bar,,684,,"Extension Bar",publish,,0,"2026-01-25 22:34:28",1,open,HEB12051,,,no,no,0,80.01,,0.21,20.2,5.1,2.1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HEB12051.jpg ! alt :  ! title : Extension Bar ! desc :  ! caption : ",,http://belims-headless.local/product/extension-bar/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
"Extension Bar",extension-bar-2,,686,,"Extension Bar",publish,,0,"2026-01-25 22:34:30",1,open,HEB12101,,,no,no,0,149.99,,0.4,33,5,2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HEB12101.jpg ! alt :  ! title : Extension Bar ! desc :  ! caption : ",,http://belims-headless.local/product/extension-bar-2/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
"GLOVE CUT RESISTANCE XL",glove-cut-resistance-xl,,688,,"GLOVE CUT RESISTANCE XL",publish,,0,"2026-01-25 22:34:31",1,open,HGCG01-XL,,,no,no,17,99,,0.07,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HGCG01-XL.jpg ! alt :  ! title : GLOVE CUT RESISTANCE XL ! desc :  ! caption : ",,http://belims-headless.local/product/glove-cut-resistance-xl/,0,,Ingco,simple,,"Safety and Protective Wear > Safety Equipment > Gloves|Safety and Protective Wear|Safety and Protective Wear > Safety Equipment",,,Skillcraft,,,
"GLOVE CUT RESISTANCE HD DIP XL",glove-cut-resistance-hd-dip-xl,,690,,"GLOVE CUT RESISTANCE HD DIP XL",publish,,0,"2026-01-25 22:34:33",1,open,HGCG08-XL,,,no,no,0,119,,0.11,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HGCG08-XL.jpg ! alt :  ! title : GLOVE CUT RESISTANCE HD DIP XL ! desc :  ! caption : ",,http://belims-headless.local/product/glove-cut-resistance-hd-dip-xl/,0,,Ingco,simple,outofstock,"Safety and Protective Wear > Safety Equipment > Gloves|Safety and Protective Wear|Safety and Protective Wear > Safety Equipment",,,Skillcraft,,,
"Nitrile Gloves, XL",nitrile-gloves-xl,,692,,"Nitrile Gloves, XL",publish,,0,"2026-01-25 22:34:35",1,open,HGNG01,,,no,no,0,22,,0.05,26,11,1.2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HGNG01.jpg ! alt :  ! title : Nitrile Gloves, XL ! desc :  ! caption : ",,http://belims-headless.local/product/nitrile-gloves-xl/,0,,Ingco,simple,outofstock,"Safety and Protective Wear > Safety Equipment > Gloves|Safety and Protective Wear|Safety and Protective Wear > Safety Equipment",,,Skillcraft,,,
"Leather Gloves, 10,5""",leather-gloves-105,,694,,"Leather Gloves, 10,5""",publish,,0,"2026-01-25 22:34:37",1,open,HGVC01,,,no,no,1,89,,0.26,26.6,13,1.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HGVC01.jpg ! alt :  ! title : Leather Gloves, 10,5"" ! desc :  ! caption : ",,http://belims-headless.local/product/leather-gloves-105/,0,,Ingco,simple,,"Safety and Protective Wear > Safety Equipment > Gloves|Safety and Protective Wear|Safety and Protective Wear > Safety Equipment",,,Skillcraft,,,
"GLOVE PVC LARGE 120-130GSM L",glove-pvc-large-120-130gsm-l,,696,,"GLOVE PVC LARGE 120-130GSM L",publish,,0,"2026-01-25 22:34:38",1,open,HGVP02,,,no,no,'-1,34.99,,0.14,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HGVP02.jpg ! alt :  ! title : GLOVE PVC LARGE 120-130GSM L ! desc :  ! caption : ",,http://belims-headless.local/product/glove-pvc-large-120-130gsm-l/,0,,Ingco,simple,outofstock,"Safety and Protective Wear > Safety Equipment > Gloves|Safety and Protective Wear|Safety and Protective Wear > Safety Equipment",,,Skillcraft,,,
"SAW HAND 400MM 7TPI BEV BLD",saw-hand-400mm-7tpi-bev-bld,,698,,"SAW HAND 400MM 7TPI BEV BLD",publish,,0,"2026-01-25 22:34:39",1,open,HHAS08400,,,no,no,0,99,,0.4,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HHAS08400.jpg ! alt :  ! title : SAW HAND 400MM 7TPI BEV BLD ! desc :  ! caption : ",,http://belims-headless.local/product/saw-hand-400mm-7tpi-bev-bld/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Saws and Accessories|Tools and Machinery",,,Skillcraft,,,
"Hand Saw",hand-saw,,700,,"Hand Saw",publish,,0,"2026-01-25 22:34:40",1,open,HHAS08500,,,no,no,0,105,,0.45,63,16,3,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HHAS08500.jpg ! alt :  ! title : Hand Saw ! desc :  ! caption : ",,http://belims-headless.local/product/hand-saw/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Saws and Accessories|Tools and Machinery",,,Skillcraft,,,
"Hand Saw",hand-saw-2,,702,,"Hand Saw",publish,,0,"2026-01-25 22:34:41",1,open,HHAS08550,,,no,no,0,110,,0.49,65,15.5,3,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HHAS08550.jpg ! alt :  ! title : Hand Saw ! desc :  ! caption : ",,http://belims-headless.local/product/hand-saw-2/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Saws and Accessories|Tools and Machinery",,,Skillcraft,,,
"Hex Socket",hex-socket,,704,,"Hex Socket",publish,,0,"2026-01-25 22:34:43",1,open,HHAST12081,,,no,no,2,,,0.06,11,5.1,2.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HHAST12081.jpg ! alt :  ! title : Hex Socket ! desc :  ! caption : ",,http://belims-headless.local/product/hex-socket/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Deep Hex Socket",deep-hex-socket,,706,,"Deep Hex Socket",publish,,0,"2026-01-25 22:34:44",1,open,HHAST12083L,,,no,no,0,,,0.15,7.6,2.2,2.2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HHAST12083L.jpg ! alt :  ! title : Deep Hex Socket ! desc :  ! caption : ",,http://belims-headless.local/product/deep-hex-socket/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
